,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
327,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-05-13,1270.9074,1257.8666,1257.8666,1287.921,1275.4766,502724500,24950591937,4.5692,0.003595
328,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-05-14,1275.4766,1277.9689,1273.9556,1301.3749,1300.5353,506097000,26604846560,25.0587,0.019647
329,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-05-17,1300.5353,1303.0827,1301.0574,1338.2904,1328.9164,594686400,33438069418,28.3811,0.021823
330,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-05-18,1328.9164,1330.4724,1316.3799,1332.3211,1321.6411,542269000,28134249952,-7.2753,-0.005475
331,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-05-19,1321.6411,1320.6797,1318.1551,1335.2511,1326.1434,766854300,30292582973,4.5023,0.003407
332,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-05-20,1326.1434,1322.0457,1321.0416,1339.972,1329.7908,686965800,31439268587,3.6474,0.00275
333,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-05-21,1329.7908,1334.6006,1314.3974,1341.2782,1315.2065,626134400,29856622126,-14.5843,-0.010967
334,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-05-24,1315.2065,1314.7921,1304.6401,1333.4194,1330.8721,561298800,28963844573,15.6656,0.011911
335,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-05-25,1330.8721,1329.6762,1329.6762,1371.5883,1370.121,624346600,33248470662,39.2489,0.029491
336,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-05-26,1370.121,1371.7814,1360.5891,1375.8099,1364.0368,615043600,31014348738,-6.0842,-0.004441
